;;;;;;split;;;;;;;;;;;;;;;;;;;;
{};info;;;;;[];planetsSpawn;;;;;;;;;;;;;;;;;;;
;_game_id;player0;;;;;PlanetsID;g-0;g-1;g-2;g-3;g-4;g-5;g-6;;;;;;;;;;;;
;_master_rate;0.20;;;;;0;;;;;;;;;;;;;;;;;;;
;_default_heigth;180;;;;;1;;;;;;;;;;;;;;;;;;;
;;;;;;;2;;;;;;;;;;;;;;;;;;;
;;;;;;;3;;;;;;;;;;;;;;;;;;;
;;;;;;;4;;;;;;;;;;;;;;;;;;;
;;;;;;;5;;;;;;;;;;;;;;;;;;;
;;;;;;;6;;;;;;;;;;;;;;;;;;;
;;;;;;{};orbsSynegies;;;;;;;;;;;;;;;;;;;
;;;;;;;fo_base;;;;;;;;;;;;;;;;;;;
;;;;;;;fo_master;;;;;;;;;;;;;;;;;;;
;;;;;;;po_base;;;;;;;;;;;;;;;;;;;
[];combatActions;;;;;;po_master;;;;;;;;;;;;;;;;;;;
;combat_base;allow;IA;IA_master;;[];gemImunity;;;;;;;;;;;;;;;;;;;
;mBook;false;;;;;itemId;rate;rate_master;;;;;;;;;;;;;;;;;
;attack;true;;;;;;;;see;;;;;;;;;;;;;;;;
;defense;true;;;;;;;;see;;;;;;;;;;;;;;;;
;move;true;;;;;;;;see;;;;;;;;;;;;;;;;
;ran;false;;;;;;;;see;;;;;;;;;;;;;;;;
;cBook;false;;;;;;;;see;;;;;;;;;;;;;;;;
;asimilation;false;;;;;;;;see;;;;;;;;;;;;;;;;
;identification;true;;;;;;;;see;;;;;;;;;;;;;;;;
[];statesBase;;;;;[];statusImunity;;;;;;;;;;;;;;;;;;;
;state_base;base;Rate;flat;type;;statusId;rate;rate_master;;;;;;;;;;;;;;;;;
;hp;20;1;1;range;;;;;;;;;;;;;;;;;;;;;
;mp;5;1;1;range;;;;;;;;;;;;;;;;;;;;;
;hg;10;1;1;range;;;;;;;;;;;;;;;;;;;;;
;hy;10;5;5;range;;;;;;;;;;;;;;;;;;;;;
;atk;1;5;5;base;;;;;;;;;;;;;;;;;;;;;
;def;5;1;1;base;;;;;;;;;;;;;;;;;;;;;
;lck;5;1;1;base;;;;;;;;;;;;;;;;;;;;;
;int;1;1;1;base;[];alimentations;;;;;;;;;;;;;;;;;;;
;sta;1;1;1;base;;itemId;rate;rate_master;;;;;;;;;;;;;;;;;
;expl;1;1;1;base;;;;;;;;;;;;;;;;;;;;;
;mor;1;1;1;base;;;;;;;;;;;;;;;;;;;;;
;ccrt;1;1;1;extra;;;;;;;;;;;;;;;;;;;;;
;ceva;1;1;1;extra;;;;;;;;;;;;;;;;;;;;;
;xp;1;1;1;extra;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
[];itemsDrops;;;;;[];capacity;;;;;;;;;;;;;;;;;;;
;itemId;min;max;rate;rate_master;;capacity;;min_lv;rate;rate_master;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
split;;;;;;split;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
