id;frCA;frFR;enUS;AR;JAP;CHN;RU;ESP
N_MONSTER0;Salvia Divirum;Salvia Divirum;;;;??;;
N_MONSTER1;;;;;;;;
N_MONSTER2;;;;;;;;
N_MONSTER3;;;;;;;;
N_MONSTER4;;;;;;;;
N_MONSTER5;;;;;;;;
N_MONSTER6;;;;;;;;
N_MONSTER7;;;;;;;;
N_MONSTER8;;;;;;;;
N_MONSTER9;;;;;;;;
N_MONSTER10;;;;;;;;
N_MONSTER11;;;;;;;;
N_MONSTER12;;;;;;;;
N_MONSTER13;;;;;;;;
N_MONSTER14;;;;;;;;
N_MONSTER15;;;;;;;;
N_MONSTER16;;;;;;;;
N_MONSTER17;;;;;;;;
N_MONSTER18;;;;;;;;
N_MONSTER19;;;;;;;;
N_MONSTER20;;;;;;;;
N_MONSTER21;;;;;;;;
N_MONSTER22;;;;;;;;
N_MONSTER23;;;;;;;;
N_MONSTER24;;;;;;;;
N_MONSTER25;;;;;;;;
N_MONSTER26;;;;;;;;
N_MONSTER27;;;;;;;;
N_MONSTER28;;;;;;;;
N_MONSTER29;;;;;;;;
N_MONSTER30;;;;;;;;
N_MONSTER31;;;;;;;;
N_MONSTER32;;;;;;;;
N_MONSTER33;;;;;;;;
N_MONSTER34;;;;;;;;
N_MONSTER35;;;;;;;;
N_MONSTER36;;;;;;;;
N_MONSTER37;;;;;;;;
N_MONSTER38;;;;;;;;
N_MONSTER39;;;;;;;;
N_MONSTER40;;;;;;;;
N_MONSTER41;;;;;;;;
N_MONSTER42;;;;;;;;
N_MONSTER43;;;;;;;;
N_MONSTER44;;;;;;;;
N_MONSTER45;;;;;;;;
N_ITEM_0;Zircon feux;;Red zircon;;;;;
N_ITEM_1;Topaz feux;;Red topaz;;;;;
N_ITEM_2;Ruby feux;;Red ruby;;;;;
N_ITEM_3;Marquiz feux;;Red marquiz;;;;;
N_ITEM_4;Ambre feux;;Red ambre;;;;;
N_ITEM_5;Grenat feux;;Red grenat;;;;;
N_ITEM_6;Amethyste feux;;Red amethyste;;;;;
N_ITEM_7;Zircon vert;;;;;;;
N_ITEM_8;Topaz vert;;;;;;;
N_ITEM_9;Ruby vert;;;;;;;
N_ITEM_10;Marquiz vert;;;;;;;
N_ITEM_11;Ambre vert;;;;;;;
N_ITEM_12;Grenat vert;;;;;;;
N_ITEM_13;Amethyste vert;;;;;;;
N_ITEM_14;;;;;;;;
N_ITEM_15;;;;;;;;
N_ITEM_16;;;;;;;;
N_ITEM_17;;;;;;;;
N_ITEM_18;;;;;;;;
N_ITEM_19;;;;;;;;
N_ITEM_20;;;;;;;;
N_ITEM_21;;;;;;;;
N_ITEM_22;;;;;;;;
N_ITEM_23;;;;;;;;
N_ITEM_24;;;;;;;;
N_ITEM_25;;;;;;;;
N_ITEM_26;;;;;;;;
N_ITEM_27;;;;;;;;
N_ITEM_28;;;;;;;;
N_ITEM_29;;;;;;;;
N_ITEM_30;;;;;;;;
